Date : 2023-09-23 15:59:40
Directory : g:\code\DCA-IOT-system
Total : 113 files,  14379 codes, 720 comments, 889 blanks, all 15988 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| api\rule\scheduler                                                         |          3 |         22 |          0 |         11 |         33 |
| api\server                                                                 |         51 |      3,759 |        658 |        482 |      4,899 |
| api\server\controller                                                      |          6 |      1,481 |          0 |        147 |      1,628 |
| api\server\dao                                                             |          6 |        325 |          0 |         73 |        398 |
| api\server\entity                                                          |          6 |        133 |          0 |         26 |        159 |
| api\server\router                                                          |          7 |        151 |          1 |         52 |        204 |
| api\server\service                                                         |          7 |      1,247 |        657 |        107 |      2,011 |
| api\server\tools                                                           |          8 |        263 |          0 |         48 |        311 |
| api\server\tools\server                                                    |          3 |        156 |          0 |         27 |        183 |
| api\server\tools\util                                                      |          5 |        107 |          0 |         21 |        128 |
| api\server\vo                                                              |         11 |        159 |          0 |         29 |        188 |
| api\sys                                                                    |          9 |        412 |         16 |         53 |        481 |
| api\sys\gis                                                                |          3 |         80 |          0 |         15 |         95 |
| api\sys\gis\geo                                                            |          3 |         80 |          0 |         15 |         95 |
| api\sys\gis\geo\geoalgorithm                                               |          1 |         28 |          0 |          3 |         31 |
| api\sys\gis\geo\geocontainer                                               |          2 |         52 |          0 |         12 |         64 |
| api\sys\iot                                                                |          6 |        332 |         16 |         38 |        386 |
| api\sys\iot\monitor                                                        |          1 |         89 |         16 |         11 |        116 |
| api\sys\iot\sensor                                                         |          5 |        243 |          0 |         27 |        270 |
| config                                                                     |          1 |         43 |          0 |          0 |         43 |
| docs                                                                       |          3 |      7,615 |          3 |          6 |      7,624 |
| scripts                                                                    |          2 |         29 |          0 |          6 |         35 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                   | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| g:\code\DCA-IOT-system\.idea\go-backend.iml                                | XML              |          9 |          0 |          0 |          9 |
| g:\code\DCA-IOT-system\.idea\modules.xml                                   | XML              |          8 |          0 |          0 |          8 |
| g:\code\DCA-IOT-system\.idea\vcs.xml                                       | XML              |          6 |          0 |          0 |          6 |
| g:\code\DCA-IOT-system\README.assets\iotdb-16937282428023.svg              | XML              |          1 |          0 |          0 |          1 |
| g:\code\DCA-IOT-system\README.assets\iotdb-16937282657945.svg              | XML              |          1 |          0 |          0 |          1 |
| g:\code\DCA-IOT-system\README.assets\iotdb-16937282677977.svg              | XML              |          1 |          0 |          0 |          1 |
| g:\code\DCA-IOT-system\README.assets\iotdb-16937282691659.svg              | XML              |          1 |          0 |          0 |          1 |
| g:\code\DCA-IOT-system\README.assets\iotdb.svg                             | XML              |          1 |          0 |          0 |          1 |
| g:\code\DCA-IOT-system\README.assets\license-Apache 2-4EB1BA.svg           | XML              |          1 |          0 |          0 |          1 |
| g:\code\DCA-IOT-system\README.md                                           | Markdown         |        283 |          0 |        139 |        422 |
| g:\code\DCA-IOT-system\api\common\db\database.go                           | Go               |         52 |          0 |          7 |         59 |
| g:\code\DCA-IOT-system\api\common\db\device_database.go                    | Go               |         37 |          0 |          8 |         45 |
| g:\code\DCA-IOT-system\api\common\jwt.go                                   | Go               |         35 |          0 |          7 |         42 |
| g:\code\DCA-IOT-system\api\common\middleware\CORS_middleware.go            | Go               |         18 |          0 |          3 |         21 |
| g:\code\DCA-IOT-system\api\common\middleware\auth_middleware.go            | Go               |         43 |          0 |          4 |         47 |
| g:\code\DCA-IOT-system\api\common\middleware\cache_middleware.go           | Go               |          1 |          1 |          2 |          4 |
| g:\code\DCA-IOT-system\api\common\middleware\log_middleware.go             | Go               |         56 |          0 |          5 |         61 |
| g:\code\DCA-IOT-system\api\rule\accepter\datasource_manager.go             | Go               |         44 |          0 |         14 |         58 |
| g:\code\DCA-IOT-system\api\rule\accepter\device_db.go                      | Go               |         14 |          0 |          4 |         18 |
| g:\code\DCA-IOT-system\api\rule\accepter\example_accepter.go               | Go               |         67 |          0 |          6 |         73 |
| g:\code\DCA-IOT-system\api\rule\accepter\init.go                           | Go               |         20 |          0 |          4 |         24 |
| g:\code\DCA-IOT-system\api\rule\actions\action_channels.go                 | Go               |          7 |          0 |          4 |         11 |
| g:\code\DCA-IOT-system\api\rule\actions\init.go                            | Go               |         30 |          0 |          6 |         36 |
| g:\code\DCA-IOT-system\api\rule\actions\mqtt_action.go                     | Go               |         35 |          0 |         11 |         46 |
| g:\code\DCA-IOT-system\api\rule\actions\ws_action.go                       | Go               |         38 |          0 |          7 |         45 |
| g:\code\DCA-IOT-system\api\rule\init.go                                    | Go               |         19 |          0 |          8 |         27 |
| g:\code\DCA-IOT-system\api\rule\rulelog\init.go                            | Go               |         16 |          0 |          3 |         19 |
| g:\code\DCA-IOT-system\api\rule\rulelog\rule_log.go                        | Go               |          5 |          0 |          3 |          8 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\init.go                         | Go               |          4 |          0 |          2 |          6 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\lexer_expression.go             | Go               |        101 |          0 |          6 |        107 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\matcher\expression_matcher.go   | Go               |        152 |          0 |          4 |        156 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\matcher\init.go                 | Go               |          6 |          0 |          3 |          9 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\matcher\pointsurface_matcher.go | Go               |         46 |          0 |          3 |         49 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\matcher_generator.go            | Go               |         77 |          0 |          5 |         82 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\matcher_map.go                  | Go               |          4 |          0 |          4 |          8 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\parse_action.go                 | Go               |         30 |          4 |          5 |         39 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\parse_condition.go              | Go               |         57 |          4 |          9 |         70 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\parse_datasource.go             | Go               |         36 |          4 |          7 |         47 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\parser.go                       | Go               |         37 |          0 |          9 |         46 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\pre_prosess.go                  | Go               |         83 |          0 |          9 |         92 |
| g:\code\DCA-IOT-system\api\rule\ruleparser\transform_expression..go        | Go               |         80 |          0 |          5 |         85 |
| g:\code\DCA-IOT-system\api\rule\scheduler\init.go                          | Go               |         11 |          0 |          3 |         14 |
| g:\code\DCA-IOT-system\api\rule\scheduler\rulemap.go                       | Go               |          4 |          0 |          4 |          8 |
| g:\code\DCA-IOT-system\api\rule\scheduler\scheduled_map.go                 | Go               |          7 |          0 |          4 |         11 |
| g:\code\DCA-IOT-system\api\server\controller\biology_controller.go         | Go               |        475 |          0 |         43 |        518 |
| g:\code\DCA-IOT-system\api\server\controller\company_controller.go         | Go               |        225 |          0 |         19 |        244 |
| g:\code\DCA-IOT-system\api\server\controller\device_controller.go          | Go               |        416 |          0 |         42 |        458 |
| g:\code\DCA-IOT-system\api\server\controller\role_controller.go            | Go               |         94 |          0 |         10 |        104 |
| g:\code\DCA-IOT-system\api\server\controller\rule_controller.go            | Go               |        179 |          0 |         21 |        200 |
| g:\code\DCA-IOT-system\api\server\controller\user_controller.go            | Go               |         92 |          0 |         12 |        104 |
| g:\code\DCA-IOT-system\api\server\dao\biology_dao.go                       | Go               |         77 |          0 |         19 |         96 |
| g:\code\DCA-IOT-system\api\server\dao\company_dao.go                       | Go               |         59 |          0 |         14 |         73 |
| g:\code\DCA-IOT-system\api\server\dao\device_dao.go                        | Go               |         93 |          0 |         19 |        112 |
| g:\code\DCA-IOT-system\api\server\dao\role_dao.go                          | Go               |         35 |          0 |          7 |         42 |
| g:\code\DCA-IOT-system\api\server\dao\rule_dao.go                          | Go               |         36 |          0 |          8 |         44 |
| g:\code\DCA-IOT-system\api\server\dao\user_dao.go                          | Go               |         25 |          0 |          6 |         31 |
| g:\code\DCA-IOT-system\api\server\entity\biology.go                        | Go               |         49 |          0 |          7 |         56 |
| g:\code\DCA-IOT-system\api\server\entity\company.go                        | Go               |         17 |          0 |          4 |         21 |
| g:\code\DCA-IOT-system\api\server\entity\device.go                         | Go               |         31 |          0 |          5 |         36 |
| g:\code\DCA-IOT-system\api\server\entity\role.go                           | Go               |          7 |          0 |          3 |         10 |
| g:\code\DCA-IOT-system\api\server\entity\rule.go                           | Go               |         17 |          0 |          5 |         22 |
| g:\code\DCA-IOT-system\api\server\entity\user.go                           | Go               |         12 |          0 |          2 |         14 |
| g:\code\DCA-IOT-system\api\server\router\biology_router.go                 | Go               |         32 |          0 |          7 |         39 |
| g:\code\DCA-IOT-system\api\server\router\company_router.go                 | Go               |         22 |          0 |          9 |         31 |
| g:\code\DCA-IOT-system\api\server\router\device_router.go                  | Go               |         34 |          0 |         11 |         45 |
| g:\code\DCA-IOT-system\api\server\router\monitor_router.go                 | Go               |         13 |          0 |          7 |         20 |
| g:\code\DCA-IOT-system\api\server\router\role_router.go                    | Go               |         16 |          0 |          6 |         22 |
| g:\code\DCA-IOT-system\api\server\router\rule_router.go                    | Go               |         19 |          0 |          7 |         26 |
| g:\code\DCA-IOT-system\api\server\router\user_router.go                    | Go               |         15 |          1 |          5 |         21 |
| g:\code\DCA-IOT-system\api\server\service\biology_service.go               | Go               |        263 |        209 |         26 |        498 |
| g:\code\DCA-IOT-system\api\server\service\company_service.go               | Go               |        283 |         85 |         18 |        386 |
| g:\code\DCA-IOT-system\api\server\service\device_service.go                | Go               |        304 |        167 |         25 |        496 |
| g:\code\DCA-IOT-system\api\server\service\role_service.go                  | Go               |         78 |         37 |          6 |        121 |
| g:\code\DCA-IOT-system\api\server\service\rule_service.go                  | Go               |        149 |         80 |         17 |        246 |
| g:\code\DCA-IOT-system\api\server\service\sensor_service.go                | Go               |         67 |         29 |          7 |        103 |
| g:\code\DCA-IOT-system\api\server\service\user_service.go                  | Go               |        103 |         50 |          8 |        161 |
| g:\code\DCA-IOT-system\api\server\tools\server\message.go                  | Go               |         13 |          0 |          1 |         14 |
| g:\code\DCA-IOT-system\api\server\tools\server\request.go                  | Go               |        100 |          0 |         15 |        115 |
| g:\code\DCA-IOT-system\api\server\tools\server\response.go                 | Go               |         43 |          0 |         11 |         54 |
| g:\code\DCA-IOT-system\api\server\tools\util\hex_to_dec.go                 | Go               |          9 |          0 |          2 |         11 |
| g:\code\DCA-IOT-system\api\server\tools\util\is_float_qual.go              | Go               |          6 |          0 |          4 |         10 |
| g:\code\DCA-IOT-system\api\server\tools\util\parse_date.go                 | Go               |          9 |          0 |          3 |         12 |
| g:\code\DCA-IOT-system\api\server\tools\util\stack.go                      | Go               |         17 |          0 |          7 |         24 |
| g:\code\DCA-IOT-system\api\server\tools\util\string_translate.go           | Go               |         66 |          0 |          5 |         71 |
| g:\code\DCA-IOT-system\api\server\vo\biology_info.go                       | Go               |         35 |          0 |          8 |         43 |
| g:\code\DCA-IOT-system\api\server\vo\biology_portabledevice.go             | Go               |          8 |          0 |          1 |          9 |
| g:\code\DCA-IOT-system\api\server\vo\company_info.go                       | Go               |          6 |          0 |          1 |          7 |
| g:\code\DCA-IOT-system\api\server\vo\company_tree_node.go                  | Go               |          9 |          0 |          2 |         11 |
| g:\code\DCA-IOT-system\api\server\vo\fio_data.go                           | Go               |         11 |          0 |          2 |         13 |
| g:\code\DCA-IOT-system\api\server\vo\fixed_device.go                       | Go               |         15 |          0 |          3 |         18 |
| g:\code\DCA-IOT-system\api\server\vo\new_collar.go                         | Go               |         14 |          0 |          1 |         15 |
| g:\code\DCA-IOT-system\api\server\vo\own_assets.go                         | Go               |         29 |          0 |          4 |         33 |
| g:\code\DCA-IOT-system\api\server\vo\portable_device.go                    | Go               |         11 |          0 |          2 |         13 |
| g:\code\DCA-IOT-system\api\server\vo\position_collar.go                    | Go               |          9 |          0 |          2 |         11 |
| g:\code\DCA-IOT-system\api\server\vo\rule_info.go                          | Go               |         12 |          0 |          3 |         15 |
| g:\code\DCA-IOT-system\api\sys\gis\geo\geoalgorithm\spatial_analysis_2d.go | Go               |         28 |          0 |          3 |         31 |
| g:\code\DCA-IOT-system\api\sys\gis\geo\geocontainer\coordinate.go          | Go               |         29 |          0 |          6 |         35 |
| g:\code\DCA-IOT-system\api\sys\gis\geo\geocontainer\geo_position_2d.go     | Go               |         23 |          0 |          6 |         29 |
| g:\code\DCA-IOT-system\api\sys\iot\monitor\connection.go                   | Go               |         89 |         16 |         11 |        116 |
| g:\code\DCA-IOT-system\api\sys\iot\sensor\collar_message.go                | Go               |         75 |          0 |          6 |         81 |
| g:\code\DCA-IOT-system\api\sys\iot\sensor\collar_msg_http.go               | Go               |          9 |          0 |          2 |         11 |
| g:\code\DCA-IOT-system\api\sys\iot\sensor\collections.go                   | Go               |         14 |          0 |          4 |         18 |
| g:\code\DCA-IOT-system\api\sys\iot\sensor\fio_message.go                   | Go               |         77 |          0 |          8 |         85 |
| g:\code\DCA-IOT-system\api\sys\iot\sensor\position_collar_message.go       | Go               |         68 |          0 |          7 |         75 |
| g:\code\DCA-IOT-system\config\application.yaml                             | YAML             |         43 |          0 |          0 |         43 |
| g:\code\DCA-IOT-system\docs\docs.go                                        | Go               |      2,860 |          3 |          5 |      2,868 |
| g:\code\DCA-IOT-system\docs\swagger.json                                   | JSON             |      2,844 |          0 |          0 |      2,844 |
| g:\code\DCA-IOT-system\docs\swagger.yaml                                   | YAML             |      1,911 |          0 |          1 |      1,912 |
| g:\code\DCA-IOT-system\go.mod                                              | Go Module File   |         91 |          0 |          5 |         96 |
| g:\code\DCA-IOT-system\go.sum                                              | Go Checksum File |        803 |          0 |          1 |        804 |
| g:\code\DCA-IOT-system\main.go                                             | Go               |         43 |         30 |          9 |         82 |
| g:\code\DCA-IOT-system\scripts\build.bat                                   | Batch            |          8 |          0 |          2 |         10 |
| g:\code\DCA-IOT-system\scripts\example_device.py                           | Python           |         21 |          0 |          4 |         25 |
| Total                                                                      |                  |     14,379 |        720 |        889 |     15,988 |
+----------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
